Time (min),MEK_data,MEK_data_StdDev,ERK_data,ERK_data_StdDev,IRS1s_data,IRS1s_data_StdDev,IRS1y_data,IRS1y_data_StdDev,Akt_data,Akt_data_StdDev,FKHR_data,FKHR_data_StdDev,MK2_data,MK2_data_StdDev,JNK1_data,JNK1_data_StdDev,IKK_data,IKK_data_StdDev,Casp8_data,Casp8_data_StdDev,Casp3_data,Casp3_data_StdDev,Number_of_levels
0,1.2899242584,0.1484183225,0.8482673702,0.620751681,0.8408258682,0.0527573603,0.4637348665,0,3.0277242627,0.2688511425,0.0154886379,0.3313338421,0.094540024,0.0381996711,0.193194365,0.1106451031,2.5604171376,0.5096515392,0.369377257,0,7.5781963557,0.8219376353,15
5,13.1808136931,1.643974203,8.1763606171,1.0188378036,6.6333293983,1.1072508832,12.4211437126,2.5305471082,11.6721863968,3.0146111603,2.2016977367,0.1588436885,1.188893218,0.2502728783,0.7870180938,0.0547699877,2.6674056902,0.6330932364,0.2984461587,0.2709683324,8.9632749891,0.771345381,
15,6.4289407981,0.2994901731,7.0074726372,0.6212509119,5.7809035547,0.4209098565,5.8575479409,1.8881580692,2.6095638252,0.7991475264,8.5056270224,1.016584803,0.1971609719,0.0467119736,0.7995935531,0.0731059496,2.7495738898,1.0170124527,0.4606046594,0.4702616941,8.1257249723,0.5928935171,
30,3.3736648741,0.0549439377,4.6248414369,0.991226556,4.3232281403,0.3165692046,5.5311345838,0.4461533576,2.4612303013,1.4413307708,1.8958673592,1.4410153655,0.0982927479,0.0277885813,0.2482612206,0.052311879,2.6343238428,1.2983278629,0.6755406929,0.3213916929,7.7726869969,0.3173922501,
60,2.2917692672,0.336231158,2.1675035319,0.4646358682,2.5359862249,0.4167073977,5.693091751,2.4186003578,2.7058811127,0.3400278381,0.6555983093,0.4044668878,0.1074228142,0.0712094429,0.1067926871,0.0403094367,2.4663550409,1.3081924682,0.6820151436,0.0545280793,7.5191641797,0.3018304028,
90,2.3050979738,0.4670501964,1.4951724264,0.1772506448,0.9745365434,0.3874254231,2.2547490323,0.8643278099,2.5301132989,0.9907370829,1.1121981644,0.1913603061,0.0951735198,0.0059522583,0.0991629384,0.0422310835,2.280676699,0.5888878037,0.6010927389,0.5540800299,7.5476492379,0.3424689394,
120,1.0858061377,0.2875263394,1.1287800798,0.3335489053,1.9910988514,0.3443460204,3.9969509653,3.5324233402,3.0124636601,0.4145226724,0,1.0885478691,0.1176527146,0.0452304913,0.0952174012,0.0120140943,2.0011041827,0.7266120555,0.5456422062,0.9450800239,8.1358959449,1.056625304,
240,1.0979460069,0.0753414212,1.5137062213,0.7103060345,1.2767457379,0.5554205428,6.4554775708,2.2330810806,4.1139978557,1.5159985845,0.4558665611,2.0010681713,0.1775422697,0.0632788901,0.2314662613,0.0458561672,3.6127437607,1.0153741588,0.4714459284,0.4530231001,5.9890050908,0.894900774,
480,2.1177002172,0.5736683877,1.8980395258,0.2425537053,1.8400630127,0.3738002822,5.9330396391,1.5259394052,3.2070131127,1.5504036997,1.2246053588,1.0866434875,0.2139602465,0.0808061966,0.3908415729,0.0057708273,1.9219068256,0.4311249086,0.6046089703,0.4911110156,6.9015371207,0.8093353184,
720,1.0920837509,0.2295213896,1.8241816271,0.9434106983,2.3069750624,0.2722187485,0.5831675468,0.0967392737,5.1350153773,1.2248019894,1.0933922822,0,0.3362745541,0.0435888491,0.5042668625,0.105017281,2.5082147854,0.9062322752,1.01457949,0.6760445098,7.5641864531,0.5175533804,
960,1.1079884648,0.7743298419,1.4572214797,0.5998420612,1.7478495033,0.0393506629,1.9197408081,0.8029103519,5.465377024,1.1102142778,1.7652344572,0,0.4148918108,0.093742082,0.2967511921,0.0761538516,1.7150801289,0.5776556265,1.1363209767,0.7399361446,7.6619648947,0.3526604842,
1200,1.9522617736,0.3548441321,2.0168329768,1.5709982456,1.4183907003,0.3722372512,1.1274487505,0.5704095422,3.9496140449,2.0412125109,0.5806072001,0,0.269926186,0.0351427347,0.2169666587,0.0663999315,2.4681881678,0.7947833668,1.5886135924,0.5663034673,8.3746945102,1.1171054237,
1440,1.5430398935,0.4923307552,1.8852287132,0.265110144,0.9239397016,0.0520343775,1.1874002047,0.317730571,4.8408993592,1.0549269257,0.2710791678,0,0.1820094536,0.0113577909,0.1185918305,0.0802930815,2.0488590337,0.1434672115,1.5511906619,0.6970786506,9.3328422474,0.7087027165,
