Time (min),IKK_data,IKK_data_StdDev,MK2_data,MK2_data_StdDev,JNK1_data,JNK1_data_StdDev,Casp8_data,Casp8_data_StdDev,Casp3_data,Casp3_data_StdDev,P-EGFR_data,MEK_data,MEK_data_StdDev,ERK_data,ERK_data_StdDev,IRS1s_data,IRS1s_data_StdDev,IRS1y_data,IRS1y_data_StdDev,Akt_data,Akt_data_StdDev,FKHR_data,FKHR_data_StdDev,Number_of_levels
0,2.5106535959,0.5203460856,0.0877784253,0.0308635313,0.1418787897,0.041645367,0.271587395,0.0674052822,7.5781963557,0.3300465103,3.9444237994,1.2899242584,0.3350903993,1.1250743182,0.1668376958,0.8408258682,0.1593345987,0.4637348665,0.221403351,2.1038356609,0.3610797359,0.9410280552,0.6256120099,15
5,3.5218637504,0.1085456514,5.6726280478,1.061024458,4.3846468498,1.1559931431,0.3419849413,0.0977136488,6.6856950821,2.5916578066,4.4332519068,6.0922865121,0.4161399508,13.7706706473,0.3468256121,5.2989152575,0.2195237314,5.6419713902,4.7152521523,6.7614377277,1.3300850951,4.567003,3.7337969303,
15,4.0660592951,0.9373484241,8.4516010313,1.4406030427,12.7114243565,0.1427569102,0.258075589,0.0855127961,6.5380778937,2.6883927062,4.4849062403,3.7519552488,0.5334156154,12.7496813373,1.0281224303,8.1508304079,0.4431159514,3.0470150098,1.6273069973,2.9607687128,0.802742285,12.6984721305,1.1869020883,
30,4.2552877674,1.4099613115,4.6387510639,0.5154273314,5.9713574634,0.4039829079,0.0289505137,0.0501437607,7.3598352915,2.1104771688,4.188884196,2.1277729688,0.5398745899,8.9596593249,0.612814064,6.7328611537,1.1735234941,1.8578581997,1.1687975263,2.1080852211,0.2036512872,10.5651497257,4.1578653993,
60,4.060800284,1.15508431,1.7267589435,0.1553376756,0.4501341761,0.0804679487,0.1814012111,0.1131509681,8.1425847411,2.9914720165,3.8481923942,1.9622530815,0.3749241916,5.1743039223,0.4538234904,4.2503978812,0.3656244629,1.6937924177,1.4943597176,2.4597063925,0.7537929351,2.017785848,0.9841067605,
90,2.7301469063,0.5175189459,1.5393023052,0.1224723394,0.3405658895,0.0396307305,0.2731597785,0.1194720643,8.8236518826,2.8969494954,3.6656517941,1.6742230779,0.7735728856,3.7928200653,0.1931411147,3.4989726642,0.6119655591,1.2390674482,0.7657295533,2.3384099769,0.2558333255,1.2484914579,0.22811128,
120,1.8035492999,0.2800673963,1.1269323753,0.2499219929,0.2534331425,0.073045164,0.3493788878,0.0894263653,10.4672888325,1.5763646251,3.4278104779,1.4963475763,0.316946336,1.6666210779,0.2291826314,1.853271752,0.248784114,0.8704962257,0.1865271542,2.0897844455,0.4327022538,1.4937445586,0.4880442523,
240,2.697012073,1.1843409104,0.8648359551,0.1122300578,0.4681082774,0.0690982276,1.9843849402,0.3429455304,10.7891702383,1.1283288293,3.034789831,1.629720866,0.3027700841,3.5729055426,0.8882116377,2.2075839279,0.1704376809,0.8446807945,0.3239777517,4.4832172881,1.3510270052,1.5187119824,0.8027610175,
480,3.0713223735,0.9172408307,0.930182789,0.1996132446,0.840515355,0.1838654356,6.0997563889,0.6149387114,11.1147079059,1.2392354628,3.7523184799,1.5856133767,0.5242884559,3.8036569608,0.3979113957,1.8641081405,0.0464512083,1.5424369143,0.6472021287,3.4674170666,0.4993406478,1.0172735156,1.0655009415,
720,5.9139487066,1.6388747961,0.3760172443,0.0618064359,0.3050649113,0.0682345563,9.3174813819,0.6083569296,11.4293593581,0.7954675826,4.8937836663,1.1781840164,0.1214939289,4.5024629313,1.0036425238,0.9877046759,0.1393676559,1.1376371844,0.6145266823,2.8802144545,0.235578044,0,0,
960,6.1570993421,1.2529622748,0.2023188482,0.020436521,0.1671564891,0.0766925893,12.6047626448,1.2667409229,10.8439705027,0.6432703463,4.6242589871,1.2556120323,0.3351230602,3.6885886859,0.4121750768,0.8706802284,0.0493243044,1.5558505722,1.3481423546,2.9367072014,0.3404290247,0.039176761,0.0410119016,
1200,4.4490040882,1.4888831746,0.1341042917,0.0274799229,0.0922424682,0.0128465809,12.2341588373,0.6816115245,11.0900843568,0.4570817532,4.0632267942,0.9978734136,0.0153804767,4.4950833017,1.4972437117,0.5684643137,0.0962879278,0.2429605278,0.1475037805,1.9092653156,0.2018318214,0,0,
1440,4.5666700477,0.7401130075,0.1361193511,0.0386989668,0.0305407173,0.067669376,13.9482534722,0.59691953,11.1428327957,1.0113267216,4.9281512951,1.0319805895,0.0780930218,3.3832197386,0.7688000792,0.5164907812,0.0350556246,0.5872891046,0.4220038589,2.447062122,0.5675445788,0,0,
