Time (min),ERK,ERK_data,ERK_data_StdDev,
0,0,5.6551,4.1383,
1.2665,3, , ,
1.6254,6, , ,
1.9843,11, , ,
2.3388,17, , ,
2.6751,22, , ,
3.0341,28, , ,
3.3614,33, , ,
3.6865,37, , ,
4.0387,40, , ,
4.375,43, , ,
4.7137,46, , ,
5, ,54.5091,6.7923,
5.0636,48, , ,
5.3412,49, , ,
5.6234,50, , ,
5.9282,51, , ,
6.5535,52, , ,
8.7681,51, , ,
9.7163,50, , ,
10.5448,49, , ,
11.2062,48, , ,
11.5561,47, , ,
12.4095,46, , ,
12.7323,45, , ,
13.0709,44, , ,
13.396,43, , ,
14.0845,42, , ,
14.4096,41, , ,
14.6354,40, , ,
14.8814,39, , ,
15, ,46.7165,4.1417,
15.2291,38, , ,
15.5045,37, , ,
15.7822,36, , ,
16.0824,35, , ,
16.412,34, , ,
16.6445,33, , ,
16.9764,32, , ,
17.2902,30, , ,
17.6469,29, , ,
17.9539,28, , ,
18.2812,26, , ,
18.5273,25, , ,
18.8388,24, , ,
19.0668,23, , ,
19.3265,22, , ,
19.6357,21, , ,
19.9044,20, , ,
20.2453,19, , ,
20.4936,18, , ,
20.7961,17, , ,
21.1302,16, , ,
21.4553,15, , ,
22.1551,14, , ,
22.2364,13, , ,
22.5908,12, , ,
23.3267,11, , ,
23.6789,10, , ,
23.9385,9, , ,
24.5052,8, , ,
25.2772,7, , ,
25.8529,6, , ,
26.5346,5, , ,
27.4986,4, , ,
28.6928,3, , ,
29.7448,2, , ,
30, ,30.8323,6.6082,
31.4583,1, , ,
34.8264,0, , ,
60, ,14.45,3.0976,
90, ,9.9678,1.1817,
120, ,7.5252,2.2237,
240, ,10.0914,4.7354,
480, ,12.6536,1.617,
720, ,12.1612,6.2894,
960, ,9.7148,3.9989,
1200, ,13.4456,10.4733,
1440,0,12.5682,1.7674,
