Time (min),AKT,Akt_data,Akt_data_StdDev,
0,20,19.2447,6.1275,
1.7992,21, , ,
2.095,22, , ,
2.4516,23, , ,
2.7812,24, , ,
3.1221,26, , ,
3.4765,27, , ,
3.8152,29, , ,
4.1719,30, , ,
4.5082,31, , ,
4.8649,32, , ,
5, ,19.6388,2.8327,
5.2193,33, , ,
7.9125,32, , ,
9.2648,31, , ,
10.6893,30, , ,
11.5381,29, , ,
12.4185,28, , ,
13.2967,27, , ,
14.2358,26, , ,
15, ,25.715,0.9309,
15.2426,25, , ,
16.2224,24, , ,
17.166,23, , ,
18.3422,22, , ,
19.5703,21, , ,
20.6968,20, , ,
21.8661,19, , ,
23.2929,18, , ,
24.7693,17, , ,
26.1622,16, , ,
27.7379,15, , ,
29.4897,14, , ,
30, ,14.3019,2.1773,
31.1693,13, , ,
33.2981,12, , ,
35.3118,11, , ,
37.5738,10, , ,
40.0255,9, , ,
42.757,8, , ,
45.8859,7, , ,
49.7056,6, , ,
53.7194,5, , ,
59.0697,4, , ,
60, ,11.857,0.8658,
65.1198,3, , ,
73.8812,2, , ,
86.25,1, , ,
90, ,17.0814,3.2431,
111.534,0, , ,
120, ,17.016,3.3789,
240, ,14.9433,1.3483,
480, ,20.8876,5.1693,
720, ,20.2238,3.9509,
960, ,19.4399,2.131,
1200, ,19.5013,2.972,
1440,0,26.37,7.3177,
