Time (min),IRS1 (Y),IRS1Y_data,IRS1Y_data_StdDev,
0,0,3.0916,0.5072,
1.5938,2, , ,
1.946,5, , ,
2.271,9, , ,
2.6097,13, , ,
2.9483,18, , ,
3.2982,23, , ,
3.6526,29, , ,
4.0025,33, , ,
4.3547,37, , ,
4.7114,39, , ,
5, ,5.1786,1.2278,
5.0703,41, , ,
5.4203,43, , ,
5.7544,44, , ,
6.4677,45, , ,
7.9125,44, , ,
8.7681,43, , ,
10.1181,42, , ,
11.204,41, , ,
11.5381,40, , ,
11.8699,39, , ,
13.0235,38, , ,
13.3463,37, , ,
14.0936,36, , ,
14.4457,35, , ,
15, ,5.8771,0.7984,
15.2426,34, , ,
15.5587,33, , ,
16.4572,32, , ,
16.8003,31, , ,
17.7688,30, , ,
18.0893,29, , ,
19.1459,28, , ,
19.7554,27, , ,
20.6019,26, , ,
21.3966,25, , ,
22.1551,24, , ,
23.0287,23, , ,
23.8166,22, , ,
24.8054,21, , ,
25.5549,20, , ,
26.8236,19, , ,
27.8982,18, , ,
29.0089,17, , ,
30, ,4.8936,1.7463,
30.1828,16, , ,
31.3905,15, , ,
32.7811,14, , ,
34.314,13, , ,
35.7588,12, , ,
37.5287,11, , ,
39.2647,10, , ,
41.389,9, , ,
43.3462,8, , ,
45.8859,7, , ,
48.7642,6, , ,
52.1505,5, , ,
56.214,4, , ,
60, ,3.449,0.6299,
61.2934,3, , ,
68.0659,2, , ,
78.4391,1, , ,
90, ,2.8815,2.4005,
98.5421,0, , ,
120, ,4.2896,0.8516,
240, ,8.3137,2.0969,
480, ,7.7953,0.8461,
720, ,5.906,0.6152,
960, ,5.3804,0.3205,
1200, ,5.0929,0.4528,
1440,0,2.3646,1.9109,
