Time (min),IKK,IKK_data,IKK_data_StdDev,
0,26,16.7377,3.469,
2.867,27, , ,
4.3051,28, , ,
5, ,23.4791,0.7236,
5.5038,29, , ,
6.5987,30, , ,
7.689,31, , ,
8.8359,32, , ,
10.0052,33, , ,
11.4387,34, , ,
13.2267,35, , ,
15, ,27.1071,6.249,
15.5429,36, , ,
19.4845,37, , ,
30, ,28.3686,9.3997,
46.0417,36, , ,
57.1102,35, , ,
60, ,27.072,7.7006,
68.646,34, , ,
79.1208,33, , ,
90, ,18.201,3.4501,
90.4264,32, , ,
99.8921,31, , ,
111.0735,30, , ,
120, ,12.0237,1.8671,
123.2865,29, , ,
135.4409,28, , ,
146.2092,27, , ,
159.2124,26, , ,
175.0826,25, , ,
185.7606,24, , ,
198.1994,23, , ,
213.2682,22, , ,
231.633,21, , ,
240, ,17.9801,7.8956,
256.0139,20, , ,
292.3371,19, , ,
316.9461,18, , ,
339.9974,17, , ,
368.3629,16, , ,
407.9436,17, , ,
434.9659,16, , ,
475.2081,17, , ,
480, ,20.4755,6.1149,
502.0723,16, , ,
543.2356,15, , ,
571.7478,16, , ,
612.6085,15, , ,
637.9738,14, , ,
658.0836,13, , ,
686.0134,12, , ,
720, ,39.4263,10.9258,
724.3908,13, , ,
751.5215,12, , ,
789.9193,13, , ,
816.0859,12, , ,
854.4634,11, , ,
880.3028,12, , ,
918.5764,13, , ,
927.4303,14, , ,
933.5888,15, , ,
940.0226,16, , ,
947.4453,17, , ,
955.3691,18, , ,
960, ,41.0473,8.3531,
964.3088,19, , ,
974.6843,20, , ,
986.7845,21, , ,
1001.7427,22, , ,
1020.437,23, , ,
1041.5627,24, , ,
1047.2742,25, , ,
1053.7825,26, , ,
1060.9727,27, , ,
1069.6008,28, , ,
1078.9108,29, , ,
1089.8506,30, , ,
1103.3075,31, , ,
1120.5639,32, , ,
1126.316,33, , ,
1132.883,34, , ,
1140.1183,35, , ,
1148.8007,36, , ,
1158.9301,37, , ,
1171.0935,38, , ,
1186.5731,39, , ,
1192.6232,40, , ,
1199.8202,41, , ,
1200, ,29.66,9.9259,
1208.6515,42, , ,
1218.9547,43, , ,
1230.8969,44, , ,
1245.9183,45, , ,
1252.465,46, , ,
1260.9984,47, , ,
1270.5611,48, , ,
1282.7652,49, , ,
1297.9243,50, , ,
1305.7465,51, , ,
1315.1332,52, , ,
1326.5697,53, , ,
1342.3248,54, , ,
1350.5195,55, , ,
1360.3532,56, , ,
1373.4647,57, , ,
1389.2875,58, , ,
1398.9632,59, , ,
1413.1719,60, , ,
1430.2928,61, , ,
1440,61,30.4445,4.9341,
